title,byline,Created Date,Date Collected by Rhizome,summary
An Incomplete Timeline of Online Exhibitions and Biennials,Oliver Laric,2013,4/25/2013,"An incomplete, partially illustrated timeline of online exhibitions and biennials that took place between 1991 and 2013. The work was created as a contribution to BiennaleOnline 2013, which had been described by organizers ARTPLUS as ""the first exclusively online biennial exhibition of contemporary art."""
Legendary Account,Joel Holmberg,2011,1/13/2013,"Legendary Account involves the artist asking profound, existential questions in the user-generated forum Yahoo! Answers, which requires users to select categories like “Pets” or “Home Maintenance” before posting. It is commonly used for questions like “Where is the nearest pet store?” Holmberg’s questions subvert the simple Q&A service. They are too searching, too complex; they tease the system of Yahoo! Answers and challenge commenters to interpret and grapple with philosophical questions."
Crystal Gallery,Timur Si-Qin & contributors,2012,11/27/2012,"In 2010 Crystal Gallery's website launched, featuring documentation of a group show titled ""Exhibition One"" curated by Timur Si-Qin and including the work of six contemporary net artists. Crystal Gallery does not exist. Both the gallery space  and the sculptural works displayed within are carefully rendered photorealistic perceptual fabrications. In an age where one's art viewing experience is predominantly experienced through documentation  Si-Qin and his collaborators sought to ask: ""Where does an artwork stop and its documentation begin? What is the function of a prospective image that is decisively not-a-model?"""
flo\\/\\/,v5mt,2012,5/28/2012,"This video by Ma≈Çgosia Wo≈∫nica aka v5mt presents a galcieal style of glitch. Rich in colorful flowing video distortions, the visuals unfold slowly in a vertically scanning stream of eerie helenistic imagrey, pop culture, and cryptographic typography, complimented by a subtle soundtrack of droning oscilations."
Rocks,Tabor Robak,2012,5/23/2012,"In his 3d composite of imagined stones, Tabor Robak explores symbiotic relationships between man, machine, nature and intent. The 198 stone renderings which are compiled onto one plain, display a tension between man's imagination and the innate capabilities of his tool."
Untitled (Standards),Michael Guidetti,2012,5/19/2012,"In Untitled (Standards) Guidetti presents cultural artifacts of  3D modeling and computer graphics. We see the Utah Teapot and other objects that have passed down through generations of computer graphics software as part of a default palate. These are projected onto a watercolor painting of a seemingly virtual light filled gallery space. As the projection unfolds the angle of sunlight and shadows shift in real-time. The objects are, as Guidetti says, ""reverently being preserved in a timeless environment""."
All jQuery Effects,Sebastian Schmieg,2012,3/30/2012,"All jQuery Effects, using the settings from the examples, one after another (jQuery is the most popular JavaScript library in use today)."
Selected Works ,Christian Oldham,2012,3/22/2012,"The following images are selections of the artist's output between 2010 and 2012. Christian Oldham (aka MEGAZORD) produces sleek, dark, cyber dystopian computer assisted imagery, with a prolific output on various social platforms."
Untitled (Silver),Takeshi Murata,2012,3/16/2012,"This piece emerged from Murata's body of work that pioneered the highly influential practice known as ""data moshing"". Murata edits and strategically removes certain data from from .AVI digital video files creating undulating and living fields of video here the source being Mario Bava's 1960 horror film Mask of Satan."""
Untitled (Pink Dot),Takeshi Murata,2012,3/16/2012,"This piece comes from Murata's body of work that pioneered the highly influential practice known as ""data moshing"". Murata edits and strategically removes certain data from from .AVI digital video files creating undulating and living fields of video here the source being the 1982 Sylvester Stallone film Rambo: First Blood."""
Get Your Ass To Mars,Takeshi Murata,2012,3/15/2012,"Murata emerged in 2011 with a wholly new body of work. In far contrast to his early animation work, or his glitch filled datamosh videos, these nine still lives are both cyber-futurist, and retro-nostalgic ‚Äì offering intricately modeled computer rendered scenes depicting objects ranging from the kitch artifact (i.e. VHS cassettes) to the mysterious, futuristic, and fictitious."
Homestead Grays,Takeshi Murata,2012,3/9/2012,"This work comes from Murata's early body of work consisting of rich, colorful, psychedelic, hand-drawn animation. The crisp colors and elegant  morphing shapes are in stark contrast with the artist's later ""data mosh"" works which are based heavily upon digital video glitch and the .avi format."
Melter 2,Takeshi Murata,2012,3/9/2012,"This work comes from Murata's early body of work consisting of rich, colorful, psychedelic, hand-drawn animation. The crisp colors and elegant  morphing shapes are in stark contrast with the artist's later ""data mosh"" works which are based heavily upon digital video glitch and the .avi format."
"I, Popeye",Takeshi Murata,2012,3/9/2012,"In Europe, Popeye's copyright expired on January 1, 2009, which means his likeness can be used in comics, on clothing, and elsewhere without authorization from the copyright holder‚Äîbut only in Europe, where the law protects copyright for seventy years following the author‚Äòs death (E.C. Segar, who first drew the spinach-guzzling sailor in 1929, died in 1938). In the United States, however, copyright stands for ninety-five years after it is first registered, so uses of Popeye will have to be registered through 2024."
Woods of Arcady,Jon Rafman,2011,3/5/2012,"""The woods of Arcady are dead And over is their antique joy"" with this line begins Rafman's Woods of Arcady. The work juxtaposes a computer generated recitation of Yeat's poem The Song of the Happy Shepherd along side video of scenes captured from the artist's explorations of the virtual environment of Second Life. The simultaneously fantastic and vapid virtual landscapes documented by the artist are at home with Yeat's imagery ""Where are now the warring kings? An idle word is now their glory."""
facingface~terrestrialtrancetree,Brenna Murphy,2012,2/25/2012,"This work is but one example of the expansive, layered, complex, multidimensional worlds crafted by Brenna Murphy. Using 3D modeling tools the artist presents us with an ultra-high resolution image of what appears to be at once a sculpture, and a geography. Here embedded full size, we are left to explore the complex systems and recursive topologies created by Murphy through the viewfinder of the browser window.",,,,
Mansion Studies,Nicolas Sassoon,2012,2/23/2012,"With ""Mansion Studies"" Sassoon has digitally modeled a series of luxury homes", reduced to a stark digital minimalism, having eliminated all defining characteristics and details. The artist rendered animated gifs of these objects infinitely rotating 360¬∞ on white platform, creating a dark," digital meditation on the banality of excess."""
Boolean Nature,Hugo Arcier,2012,2/16/2012,"In logic and computer programming, a Boolean operator is a type of variable between two states. In computer-generated imagery, Boolean operations enable one to subtract, add or create an intersection between two objects. In this series Arcier has painstakingly constructed landscape scenes, upon which he applies spherical boolean subtractions.",,,,
mirrrroring.net,Michael Manning,2012,2/5/2012,"Mirrrroring.net is a portal into a fantasy from a new past that feels youthful, sad, and familiar. The site makes use of Animated GIFs, HTML, and WAVs, to create its surreal and vibrant pages.  ",,,,
