"id"	"created_by_id"	"title"	"url"	"image"	"description"	"at_new_museum"	"is_online"	"location_title"	"location_street1"	"location_street2"	"location_city"	"location_locality_province"	"location_state_id"	"location_country_id"	"location_url"	"zip_postal_code"	"start_date"	"end_date"	"created"	"modified"	"allow_comments"	"slug"	"media_link"	"curator_other"	"curator_other_link"	"artists_other"	"medium_image"	"thumbnail"
1	1047032	"Rhizome Artbase 101"	"http://rhizome.org/artbase101/"	"programs/exhibition/1/artbase101.jpg"	"<b><i>Rhizome ArtBase 101</i></b> surveys salient themes in Internet art, a practice that has flourished in the last ten years.  The exhibition presents forty selections from Rhizome's online archive of new media art, the <a href=\"/art/\">ArtBase</a>, which was launched in 1999 and currently holds some 1,500 works by artists from around the world. Featured works are grouped by ten unifying themes and include seminal pieces by early practitioners as well as projects by some of the most pioneering emerging talents working in the field today. Encompassing software, games, moving image and websites, <b><i>Rhizome ArtBase 101</i></b> presents the Internet as a strapping medium that rivals other art forms in its ability to buttress varied critical and formal explorations.</p>"	1	1	"the New Museum"	""	""	"New York"	""	"New York"	"US"	"http://www.newmuseum.org/"	NULL	"2005-06-23 19:00:00"	"2005-09-10 21:00:00"	"2010-08-24 11:43:35"	"2011-06-28 11:41:46"	1	"rhizome-artbase-101"	""	""	""	""	"programs/exhibition/Rhizome-Artbase-101/ARTBASE_250x250_250x250.jpg"	"programs/exhibition/1/artbase101_thumbnail.jpg"
7	1047032	"Faultlines"	"http://rhizome.org/events/timeshares/faultlines.php"	"programs/exhibition/7/faultlines.jpg"	"<p>The works in <b><i>Faultines</b></i> consider the desires, fictions and anxieties embedded in online communities, and also reveal how \"real-world\" issues, such as commerce and international politics, drive relationship in the virtual sphere just as they do offline.</p>  <p>This exhibition is part of <a href=\"/events/timeshares/\">Times Shares</a>.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2006-08-01 00:00:00"	"2006-08-31 00:00:00"	"2010-08-24 12:06:25"	"2011-06-28 11:45:44"	1	"faultlines"	""	""	""	""	"programs/exhibition/Faultlines/FAULTLINES_250x250_250x250.jpg"	"programs/exhibition/7/faultlines_thumbnail.jpg"
2	1047032	"New Art's Cyborg[Feminist]s, Punks and Manifestos"	"http://rhizome.org/art/exhibition/cyborg/"	"programs/exhibition/2/cyborg_feminist.jpg"	"<p>\"The idea behind the following exhibition's  selection, or let's call it a temporary convergence of forces,  is to think Internet art radically different from those projects  and activities on the net that nurture only their design aspects, without questioning the logic of their appearances or the social  matrix to which they apply.  The selection is about emphasizing responsibility,  as critic Gayatri Chakravorty Spivak would say, for questions of  rights, history, race and sexuality. I try to put forward those projects that display not only a clear political stance but also the politics  of the Internet itself. \" - Marina Grzinic</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2005-10-28 00:00:00"	"2005-10-31 00:00:00"	"2010-08-24 11:48:27"	"2011-06-28 11:46:53"	1	"new-arts-cyborg-feminist-s-punks-and-manifestos"	""	""	""	""	"programs/exhibition/New-Art's-Cyborg[Feminist]s,-Punks-and-Manifestos/FEMINISTCYBORG_250x250_250x250.jpg"	"programs/exhibition/2/cyborg_feminist_thumbnail.jpg"
3	1047032	"All Systems Go!"	"http://rhizome.org/events/scope/"	"programs/exhibition/3/all_systems_go.jpg"	"<p>Part of the Curator's Choice program at this year's <b>Scope-New York Art Fair</b>, <b><i>All Systems Go!</i></b> features high-tech, low-tech, and hybrid work exploring digital, representational, political, and social systems. This exhibition constitutes an expansion of Rhizome's mission to connect art and technology. The artists comment on systems, in their various forms and themes, with works ranging from computer, video, and electronic installations to drawings, paintings, and sculpture. Here, technology is not the sole tool or object at play, but is often an indirect subject -- a backdrop on the social landscape within which all art practice now occurs.  The harmony or dischord between these installations pinpoint areas of overlap between the various systems now navigated by each of us living in a technological society.  The show is, thus, an update on the established field of 'systems art,'  from the perspective of contemporary culture and practice.</p> <p> This exhibit is part of the 2006 Scope-New York Art Fair.</p>"	0	0	"Cinemascope Gallery"	""	""	"New York"	""	"New York"	"US"	""	NULL	"2006-03-10 00:00:00"	"2006-03-13 00:00:00"	"2010-08-24 11:52:09"	"2011-06-28 11:46:41"	1	"all-systems-go"	""	""	""	""	"programs/exhibition/All-Systems-Go!/ALLSYSTEMSGO_250x250_250x250.jpg"	"programs/exhibition/3/all_systems_go_thumbnail.jpg"
4	1047032	"Surge"	"http://www.free103point9.org/"	"programs/exhibition/4/surge.jpg"	"An online exhibition of web-based projects selected from an open call for submissions. <b><i>Surge</i></b> includes works by artists 31 Down, Abe Linkoln and <a href=\"http://rhizome.org/member.php?1001931\">Marisa Olson</a>, Angel Nevarez and Alex Rivera, NYSAE (New York Society for Acoustic Ecology), Jim Punk, and Leslie Sharpe. The featured projects employ new media tools to both conceptually and formally address different possibilities for transmission art online. Some consider the nature of signals as they move through the ether; others appropriate forms of wireless transmission, such as the military's aerial 'drone' or the data format ASCII, to propose new kinds of digital communication.</p>  <p><b>Surge Live</b>, a reception to celebrate the exhibition took place on March 28th, 2006 at Participant, Inc. gallery.  Presentations were given by several of the featured artists: 31 Down, Angel Nevarez, and NYSAE (New York Society for Acoustic Ecology)</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2006-01-10 00:00:00"	"2006-03-31 00:00:00"	"2010-08-24 11:54:07"	"2011-06-28 11:46:30"	1	"surge"	""	"free103point9"	""	""	"programs/exhibition/Surge/FREE103_250x250_250x250.jpg"	"programs/exhibition/4/surge_thumbnail.jpg"
5	1047032	"Rhizome Commissions: 2005-2006"	"http://rhizome.org/commissions/"	"programs/exhibition/5/listen.gif"	"  <p>Eleven projects were awarded grants for the 2005-2006 cycle; each one pushes formal and conceptual boundaries of works made with the Internet or networked technology. The eleven projects awarded commissions this year are now online.</p>  <p>Explore innovative works by Dave Burns, Matias Viegener and Austin Young, Jason Corace and Vicky Fang, Andy Deck, Jason Freeman, Ethan Ham and Tony Muilenburg, Peter Horvath, Sean Kerr, Thomas Laureyssens, UBERMORGEN.COM feat. Alessandro Ludovico vs. Paolo Cirio and Adriaan Stellingwerff.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2006-04-01 00:00:00"	"2006-04-30 00:00:00"	"2010-08-24 11:56:59"	"2011-06-28 11:46:17"	1	"rhizome-commissions-2005-2006"	""	""	""	""	"programs/exhibition/Rhizome-Commissions:-2005-2006/LISTEN_250x250_250x250.jpg"	"programs/exhibition/5/listen_thumbnail.jpg"
6	1	"Gif Show"	"http://archive.rhizome.org/events/gifshow/"	"programs/exhibition/6/gif_show.gif"	"<p>The <b><i>GIF Show</i></b> takes the pulse of what some net surfers have dubbed 'GIF Luv,' a recent frenzy of file-sharing and creative muscle-flexing associated with GIFs (Graphic Interchange Format files).</p>"	1	1	"the New Museum"	"132 Eddy Street"	""	"New York"	""	"California"	"US"	"http://www.rxgallery.com/"	NULL	"2006-05-03 00:00:00"	"2006-06-03 00:00:00"	"2010-08-24 12:04:12"	"2011-03-04 14:26:51"	1	"gif-show"	""	""	""	""	NULL	NULL
8	1047032	"The Copy and Paste Show"	"http://www.ida-ekblad.com/1_selected_exhibitions/the_copyandpaste_show/"	"programs/exhibition/8/copy_paste_show.jpg"	"<p><b><i>The Copy and Paste Show</b></i> explores the evolution of copy-and-paste culture, where the copying of digital material has become a major technique in the construction of online identity and style. Featured artists include: Seth Price, 808 and collaborative artists Ida Ekblad and Anders Nordby. Each explores how copy and paste techniques, paired with different digital tools, influence web aesthetics, music production, and relationships on and offline.</p><p>This exhibition is part of <a href=\"/events/timeshares/\">Times Shares</a>.</p>"	0	1	""	""	""	""	""	NULL	NULL	""	NULL	"2007-09-01 00:00:00"	"2007-09-30 00:00:00"	"2010-08-24 12:08:09"	"2011-06-28 11:45:53"	1	"the-copy-and-paste-show"	""	""	""	""	"programs/exhibition/The-Copy-and-Paste-Show/COPYANDPASTE_250x250_250x250.jpg"	"programs/exhibition/8/copy_paste_show_thumbnail.jpg"
9	1047032	"DIY Computing"	"http://rhizome.org/events/tenyear/calendar.rhiz"	"programs/exhibition/9/DIY_computing.jpg"	"<p>Rhizome co-presents a solo exhibition by Dallas-based artist Paul Slocum who turns outdated technologies, from Ataris to dot matrix printers, into expressive and technically innovative art works. The emerging artist fuses nostalgia with a critical take on the rapid obsolescence of technologies.</p><p>This exhibition was part of <strong>Rhizome's  Tenth Anniversary Festival</strong> events.</p>"	0	0	"vertexList"	"138 Bayard Street"	""	"Brooklyn"	""	"New York"	"US"	"http://www.vertexlist.net/"	NULL	"2007-10-14 00:00:00"	"2007-11-19 00:00:00"	"2010-08-24 12:12:32"	"2011-06-28 11:45:28"	1	"diy-computing"	""	""	""	""	"programs/exhibition/DIY-Computing/DIYCOMPUTING_250x250_250x250.jpg"	"programs/exhibition/9/DIY_computing_thumbnail.jpg"
10	1047032	"13 Most Beautiful Avatars"	"http://archive.rhizome.org/events/timeshares/"	"programs/exhibition/10/13_most_beautiful_avatars.jpg"	"<b><i>13 Most Beautiful Avatars</i></b> by Eva and Franco Mattes (aka 0100101110101101.org), an exhibition in Second Life's increasingly popular Ars Virtua gallery --a virtual nonprofit arts organization-- captures the most visually dynamic and celebrated \"stars\" of Second Life. The Matteses have been living in the virtual world, Second Life, for over a year, exploring its terrain and interacting with its peculiar inhabitants.  The result of their \"video-game flanerie\" is this series of portraits.</p>  <p>This exhibition is part of <a href=\"/events/timeshares/\">Times Shares</a>.</p>"	0	0	"Second Life's Ars Virtua gallery & The Italian Academy, Columbia University"	"1161 Amsterdam Avenue"	""	"New York"	""	"New York"	"US"	"http://www.columbia.edu/"	NULL	"2006-11-15 00:00:00"	"2006-12-29 00:00:00"	"2010-08-24 12:17:06"	"2011-06-28 11:45:15"	1	"most-13-beautiful-avatars"	""	""	""	""	"programs/exhibition/13-Most-Beautiful-Avatars/MOSTBEAUTIFUL_250x250_250x250.jpg"	"programs/exhibition/10/13_most_beautiful_avatars_thumbnail.jpg"
