T28, Real Player JukeBox 1, Software, Real Player, JukeBox 1
T29, Real Player JukeBox 2, Software, Real Player, JukeBox 2
T30, Real Player 3, Software, Real Player, 3
T31, Real Player 4, Software, Real Player, 4
T32, Real Player 5, Software, Real Player, 5
T33, Real Player 6, Software, Real Player, 6
T34, Real Player 7, Software, Real Player, 7
T35, Real Player 8, Software, Real Player, 8
T36, Real Player 10, Software, Real Player, 10
T37, Real Player 10.5, Software, Real Player, 10.5
T38, Real Player 11, Software, Real Player, 11
T39, Real Player SP1.0, Software, Real Player, SP1.0
T40, Real Player SP1.0.2, Software, Real Player, SP1.0.2
T41, Real Player SP1.0.5, Software, Real Player, SP1.0.5
T42, Real Player SP1.1, Software, Real Player, SP1.1
T43, Real Player SP1.1.5, Software, Real Player, SP1.1.5
T44, Mozilla Firefox 1.5, Browser, Mozilla Firefox, 1.5
T45, Mozilla Firefox 2, Browser, Mozilla Firefox, 2
T46, Mozilla Firefox 3, Browser, Mozilla Firefox, 3
T47, Mozilla Firefox 3.5, Browser, Mozilla Firefox, 3.5
T48, Mozilla Firefox 3.6, Browser, Mozilla Firefox, 3.6
T49, Mozilla Firefox 4.0 (beta), Browser, Mozilla Firefox, 4.0 (beta)
T50, Internet Explorer 1, Browser, Internet Explorer, 1
T51, Internet Explorer 2, Browser, Internet Explorer, 2
T52, Internet Explorer 3, Browser, Internet Explorer, 3
T53, Internet Explorer 4, Browser, Internet Explorer, 4
T54, Internet Explorer 5, Browser, Internet Explorer, 5
T55, Internet Explorer 6, Browser, Internet Explorer, 6
T56, Internet Explorer 7, Browser, Internet Explorer, 7
T57, Internet Explorer 8, Browser, Internet Explorer, 8
T58, Internet Explorer 9, Browser, Internet Explorer, 9
T59, Safari 1, Browser, Safari, 1
T60, Safari 2, Browser, Safari, 2
T61, Safari 3, Browser, Safari, 3
T62, Safari 4, Browser, Safari, 4
T63, Safari 5, Browser, Safari, 5
T64, Netscape Navigator 0.9, Browser, Netscape Navigator, 0.9
T65, Netscape Navigator 1, Browser, Netscape Navigator, 1
T66, Netscape Navigator 1.1, Browser, Netscape Navigator, 1.1
T67, Netscape Navigator 1.22, Browser, Netscape Navigator, 1.22
T68, Netscape Navigator 2, Browser, Netscape Navigator, 2
T69, Netscape Navigator 2.01, Browser, Netscape Navigator, 2.01
T70, Netscape Navigator 2.01, Browser, Netscape Navigator, 2.01
T71, Netscape Navigator 2.02, Browser, Netscape Navigator, 2.02
T72, Netscape Navigator 3, Browser, Netscape Navigator, 3
T73, Netscape Navigator 3.01, Browser, Netscape Navigator, 3.01
T74, Netscape Navigator 3.02, Browser, Netscape Navigator, 3.02
T75, Netscape Navigator 3.03, Browser, Netscape Navigator, 3.03
T76, Netscape Navigator 3.04, Browser, Netscape Navigator, 3.04
T77, Netscape Navigator 4, Browser, Netscape Navigator, 4
T78, Netscape Navigator 4.01, Browser, Netscape Navigator, 4.01
T79, Netscape Navigator 4.02, Browser, Netscape Navigator, 4.02
T80, Netscape Navigator 4.03, Browser, Netscape Navigator, 4.03
T81, Netscape Navigator 4.04, Browser, Netscape Navigator, 4.04
T82, Netscape Navigator 4.05, Browser, Netscape Navigator, 4.05
T83, Netscape Navigator 4.06, Browser, Netscape Navigator, 4.06
T84, Netscape Navigator 4.07, Browser, Netscape Navigator, 4.07
T85, Netscape Navigator 4.08, Browser, Netscape Navigator, 4.08
T86, Opera 1.xx, Browser, Opera, 1.xx
T87, Opera 2.xx, Browser, Opera, 2.xx
T88, Opera 3.xx, Browser, Opera, 3.xx
T89, Opera 4.xx, Browser, Opera, 4.xx
T90, Opera 4.xx, Browser, Opera, 4.xx
T91, Opera 5.xx, Browser, Opera, 5.xx
T92, Opera 6.xx, Browser, Opera, 6.xx
T93, Opera 7.xx, Browser, Opera, 7.xx
T94, Opera 8.xx, Browser, Opera, 8.xx
T95, Opera 9.xx, Browser, Opera, 9.xx
T96, Opera 10.xx, Browser, Opera, 10.xx
T97, Chrome 0.2.149, Browser, Chrome, 0.2.149
T98, Chrome 0.3.154, Browser, Chrome, 0.3.154
T99, Chrome 0.4.154, Browser, Chrome, 0.4.154
T100, Chrome 1.0.154, Browser, Chrome, 1.0.154
T101, Chrome 2.0.172, Browser, Chrome, 2.0.172
T102, Chrome 3.0.195, Browser, Chrome, 3.0.195
T103, Chrome 4.0.249, Browser, Chrome, 4.0.249
T104, Chrome 04/01/49, Browser, Chrome, 04/01/49
T105, Chrome 5.0.375, Browser, Chrome, 5.0.375
T106, Chrome 6.0.472, Browser, Chrome, 6.0.472
T107, Chrome 7.0.517, Browser, Chrome, 7.0.517
T541, PureData 2.2.11.22, Programming Language, PureData, 2.2.11.22
T542, PureData 2.2.11.24, Programming Language, PureData, 2.2.11.24
T543, PureData 0.01, Programming Language, PureData, 0.01
T544, PureData 0.02, Programming Language, PureData, 0.02
T545, PureData 0.03, Programming Language, PureData, 0.03
T546, PureData 0.04, Programming Language, PureData, 0.04
T547, PureData 0.05, Programming Language, PureData, 0.05
T548, PureData 0.06, Programming Language, PureData, 0.06
T549, PureData 0.07, Programming Language, PureData, 0.07
T550, PureData 0.08, Programming Language, PureData, 0.08
T551, PureData 0.09, Programming Language, PureData, 0.09
T552, PureData 0.1, Programming Language, PureData, 0.1
T553, PureData 0.11, Programming Language, PureData, 0.11
T554, PureData 0.12, Programming Language, PureData, 0.12
T555, PureData 0.13, Programming Language, PureData, 0.13
T556, PureData 0.14, Programming Language, PureData, 0.14
T557, PureData 0.15, Programming Language, PureData, 0.15
T558, PureData 0.16, Programming Language, PureData, 0.16
T559, PureData 0.17, Programming Language, PureData, 0.17
T560, PureData 0.18, Programming Language, PureData, 0.18
T561, PureData 0.19, Programming Language, PureData, 0.19
T562, PureData 0.2, Programming Language, PureData, 0.2
T563, PureData 0.21, Programming Language, PureData, 0.21
T564, PureData 0.22, Programming Language, PureData, 0.22
T565, PureData 0.24, Programming Language, PureData, 0.24
T566, PureData 0.25, Programming Language, PureData, 0.25
T567, PureData 0.26, Programming Language, PureData, 0.26
T568, PureData 0.27, Programming Language, PureData, 0.27
T569, PureData 0.28, Programming Language, PureData, 0.28
T570, PureData 0.29, Programming Language, PureData, 0.29
T571, PureData 0.3, Programming Language, PureData, 0.3
T572, PureData 0.31, Programming Language, PureData, 0.31
T573, PureData 0.32, Programming Language, PureData, 0.32
T574, PureData 0.33, Programming Language, PureData, 0.33
T575, PureData 0.34, Programming Language, PureData, 0.34
T576, PureData 0.35, Programming Language, PureData, 0.35
T577, PureData 0.36, Programming Language, PureData, 0.36
T578, PureData 0.37, Programming Language, PureData, 0.37
T579, PureData 0.38, Programming Language, PureData, 0.38
T580, PureData 0.39, Programming Language, PureData, 0.39
T581, PureData 0.4, Programming Language, PureData, 0.4
T582, PureData 0.41, Programming Language, PureData, 0.41
T583, PureData 0.42, Programming Language, PureData, 0.42
T523, Processing 1.6 mac and windows, Programming Language, Processing, 1.6 mac and windows
T524, Processing 5 mac and windows, Programming Language, Processing, 5 mac and windows
T525, Processing 1.0.1.1, Programming Language, Processing, 1.0.1.1
T526, Processing 1.0.1.2, Programming Language, Processing, 1.0.1.2
T527, Processing 1.1.1.2, Programming Language, Processing, 1.1.1.2
T528, Processing 1.2.2.3, Programming Language, Processing, 1.2.2.3
T529, Processing 1.2.2.4, Programming Language, Processing, 1.2.2.4
T530, Processing 1.2.2.5, Programming Language, Processing, 1.2.2.5
T531, Processing 1.3.2.6, Programming Language, Processing, 1.3.2.6
T532, Processing 1.3.2.7, Programming Language, Processing, 1.3.2.7
T533, Processing 1.3.2.8, Programming Language, Processing, 1.3.2.8
T534, Processing 1.4.2.9, Programming Language, Processing, 1.4.2.9
T535, Processing 2.0.6.13, Programming Language, Processing, 2.0.6.13
T536, Processing 2.1.6.14, Programming Language, Processing, 2.1.6.14
T537, Processing 2.1.6.15, Programming Language, Processing, 2.1.6.15
T538, Processing 2.1.6.16, Programming Language, Processing, 2.1.6.16
T539, Processing 2.2.7.18, Programming Language, Processing, 2.2.7.18
T540, Processing 2.2.8.20, Programming Language, Processing, 2.2.8.20
T587, Adobe Photoshop 2005, Software, Adobe Photoshop, 2005
T588, Adobe Photoshop 2008, Software, Adobe Photoshop, 2008
T589, Adobe Photoshop 0.63, Software, Adobe Photoshop, 0.63
T590, Adobe Photoshop 1, Software, Adobe Photoshop, 1
T591, Adobe Photoshop 2, Software, Adobe Photoshop, 2
T592, Adobe Photoshop 2.5, Software, Adobe Photoshop, 2.5
T593, Adobe Photoshop 3, Software, Adobe Photoshop, 3
T594, Adobe Photoshop 4, Software, Adobe Photoshop, 4
T595, Adobe Photoshop 5, Software, Adobe Photoshop, 5
T596, Adobe Photoshop 5.5, Software, Adobe Photoshop, 5.5
T597, Adobe Photoshop 6, Software, Adobe Photoshop, 6
T598, Adobe Photoshop 7, Software, Adobe Photoshop, 7
T599, Adobe Photoshop 7.0.1, Software, Adobe Photoshop, 7.0.1
T600, Adobe Photoshop CS (8.0), Software, Adobe Photoshop, CS (8.0)
T601, Adobe Photoshop CS2 (9.0), Software, Adobe Photoshop, CS2 (9.0)
T602, Adobe Photoshop CS3 (10.0), Software, Adobe Photoshop, CS3 (10.0)
T603, Adobe Photoshop CS3 Extended (10.0), Software, Adobe Photoshop, CS3 Extended (10.0)
T604, Adobe Photoshop CS4 (11.0), Software, Adobe Photoshop, CS4 (11.0)
T605, Adobe Photoshop CS4 Extended (11.0), Software, Adobe Photoshop, CS4 Extended (11.0)
T606, Adobe Illustrator CS5 (12.0), Software, Adobe Illustrator, CS5 (12.0)
T607, Adobe Illustrator CS5 Extended (12.0), Software, Adobe Illustrator, CS5 Extended (12.0)
T608, Adobe Illustrator 1, Software, Adobe Illustrator, 1
T609, Adobe Illustrator 1.2, Software, Adobe Illustrator, 1.2
T610, Adobe Illustrator 1.3, Software, Adobe Illustrator, 1.3
T611, Adobe Illustrator 1.4, Software, Adobe Illustrator, 1.4
T612, Adobe Illustrator 1.5, Software, Adobe Illustrator, 1.5
T613, Adobe Illustrator 1.6, Software, Adobe Illustrator, 1.6
T614, Adobe Illustrator 1.7 (aka Illustrator 88), Software, Adobe Illustrator, 1.7 (aka Illustrator 88)
T615, Adobe Illustrator 2, Software, Adobe Illustrator, 2
T616, Adobe Illustrator 3, Software, Adobe Illustrator, 3
T617, Adobe Illustrator 4, Software, Adobe Illustrator, 4
T618, Adobe Illustrator 5, Software, Adobe Illustrator, 5
T619, Adobe Illustrator 6, Software, Adobe Illustrator, 6
T620, Adobe Illustrator 7, Software, Adobe Illustrator, 7
T621, Adobe Illustrator 8, Software, Adobe Illustrator, 8
T622, Adobe Illustrator 9, Software, Adobe Illustrator, 9
T623, Adobe Illustrator 10, Software, Adobe Illustrator, 10
T624, Adobe Illustrator CS, Software, Adobe Illustrator, CS
T625, Adobe Illustrator CS2, Software, Adobe Illustrator, CS2
T626, Adobe Illustrator CS3, Software, Adobe Illustrator, CS3
T627, Adobe After Effects CS4, Software, Adobe After Effects, CS4
T628, Adobe After Effects CS5, Software, Adobe After Effects, CS5
T629, Adobe After Effects 1, Software, Adobe After Effects, 1
T630, Adobe After Effects 1.1, Software, Adobe After Effects, 1.1
T631, Adobe After Effects 2, Software, Adobe After Effects, 2
T632, Adobe After Effects 3, Software, Adobe After Effects, 3
T633, Adobe After Effects 3.1, Software, Adobe After Effects, 3.1
T634, Adobe After Effects 4, Software, Adobe After Effects, 4
T635, Adobe After Effects 4.1, Software, Adobe After Effects, 4.1
T636, Adobe After Effects 5, Software, Adobe After Effects, 5
T637, Adobe After Effects 5.5, Software, Adobe After Effects, 5.5
T638, Adobe After Effects 6, Software, Adobe After Effects, 6
T639, Adobe After Effects 6.5, Software, Adobe After Effects, 6.5
T640, Adobe After Effects 7, Software, Adobe After Effects, 7
T641, Adobe After Effects CS3 (8.0), Software, Adobe After Effects, CS3 (8.0)
T642, Adobe After Effects CS4 (9.0), Software, Adobe After Effects, CS4 (9.0)
