id,title,artist first name,artist last name,byline,description,creation date,URL,link type,Location,link type,license_slug,readme,created_date,collective,other_artists,tags
36874,Alter Ego,Alexa,Wright,Alexa Wright,"Alter Ego is a screen-based installation where the user interacts with what appears to be his or her own mirror image but which is, in fact, an avatar onto which the face of the user is mapped in real time.  Alter Ego investigates the familiar sense of being outside of (beside) oneself, and plays with the experience of a loss of control over an aspect of the self. Using a computer to produce a semi-autonomous replica of the person sitting in front of it, Alter Ego invites individuals to question the various facets of their own identity.  
Alter Ego investigates the familiar sense of being outside of (beside) oneself, and plays with the experience of a loss of control over an aspect of the self. Using a computer to produce a semi-autonomous replica of the person sitting in front of it, Alter Ego invites people to question the various facets of their own identity. 
 In the installation, a stool with a curved black screen behind it is placed 1.5 metres in front of something that appears to be a mirror hanging on a wall. If you sit still on the stool with a blank expression on your face the computer will capture your image via a webcam located behind the ‘mirror'. Using data gathered from these captured images, the system reorganises a stored 3D model to look like you. As the computer is working you will see an image which forms your own ‘reflection’, mirroring your own facial expressions. After about thirty seconds this reflection begins to react to, rather than mirror, your expressions. For example: if you smile, the virtual face, or ‘alter ego’, may look surprised or angry, or may smile back. This dialogue continues until the system detects that the face has moved outside its field of vision, at which time it is reset. 
The interface is designed to be automatic and invisible - it does not require conscious intervention (such as button pushing/touch screen etc). Alter Ego has a secondary audience comprised of those people who have already used the work, or who are waiting to use it, and who are discussing their ‘performance’. 
The face of the Alter Ego appears like, but not exactly like, that of the user. Its facial expressions mimic those of the user, but they are not quite right. It is this gap that renders the work both intriguing and compelling. This gap introduces a sense of rupture between the observed self and the experienced self. At the same time, it points up the inseparability of human and machine; of conscious actions and affective responses. Alter Ego plays with our expectations, drawing attention to the subtle relationship between technological development and the transformation of human self-image and identification.
Alter Ego was made in collaboration with Professor Alf Linney at University College London. the project was supported by Arts Council England Touring and an Impact Award from the Wellcome Trust.
",12/3/05 13:53,http://www.alteregoinstallation.co.uk/,outside_link,,archive_URL,arr,Date created: 2005,12/3/05 13:53,,,"Collaborative, interactive, identity, installation, interface, live, machine, participatory, avatar, automatic, real time, emotion, affect"
46890,Arabesque,Peter William,Holden,Peter William Holden,"In my recent work I have concerned myself not only with the sculpting of three dimensions but also with a fourth: the dimension of time. I have attempted to create work that evolves, adapts and regresses. Work which falls somewhere between conventional notions of pictorial art and a kind of performance. “Arabesque” is the natural continuation of this exploration – a real time animation.
With its roots in Mary Shelly’s “Frankenstein” and the alchemist’s laboratory, the installation presents itself as a mechanical flower: a simulacrum of nature. Life sized human body parts, impaled upon steel, move and sway and dance. The limbs, translucent and livid, bare their internal robotic mechanisms to the gaze of the viewer. The wiring itself is an aesthetic expression deliberately integrated into the installation to bring chaotic lines of abstract form to contrast with the organized symmetry of the body parts.
 The lifeblood of this organism is air and when activated this air flows invisibly, bestowing movement to these mechanisms and its presence is only betrayed when exhaled loudly from the valves attached to the serpentine air hose. This combined with the rattle of relays and the tandem clattering of pistons to produce a hyper-modern accompaniment to the music of Strauss.
Part cinema, part theatre, “Arabesque” can be viewed form a multitude of angles, revealing a kaleidoscope of beautiful shapes and patterns created from the human form.
 mechanical kaleidoscope
Composite Plastic, Steel, Industrial Computer, Compressed Air Components
4.5m x 4.5m x 1.5m
",6/18/07 0:00,http://www.peter-william-holden.com/data/video/arabesque.mp4,outside_link,,archive_URL,arr,,6/18/07 0:00,,,"kinetic art, installation art, choreography, animation, robotic art, audio visual, robotic art, sculpture, robot, dance, machine, sculpture, new media art, installation art, movement, installation, choreography, robotic art, Sculpture, installation, performance, robot, installation art, Kinetic Sculpture, 
"
38076,AutoGene,Peter William,Holden,Peter William Holden,"physical animation
Umbrellas, Steel, Industrial Computer, Compressed Air Components
4.5m x 4.5m x 0.8m
 Within movement lies beauty but that very movement begets destruction. Giving a first impression of a simple commodity sculpture, “AutoGene” lures the viewer into a false sense of security, which is then, at the flick of a switch, rapidly dispelled. The seemingly mundane umbrellas are transformed into magical, animated objects. The circular arrangement combined with the striking contrast produced as the umbrellas expand and contract engender the formation of abstract ephemeral patterns, which are seemingly governed by the accompanying music. The viewer is obliged to re-evaluate the sculpture, inviting comparisons with dance and animation as the mechanical pixels complete their choreographed movement through time and space.
Video Link:
http://vimeo.com/3066109",10/21/05 0:00,http://www.peter-william-holden.com/data/video/autogene.mp4,outside_link,http://archive.rhizome.org/artbase/38076/autogene.mp4,archive_URL,arr,"Date created: 2005-10-21
Date created: 2005-10-21
Date created: 2005-10-21
Date created: 2005-10-21
Date cloned: 2013-05-08",10/21/05 0:00,,,"kinetic art, robot, umbrella, dance, machine, sculpture, computer, new media art, kinetic sculpture, installation art, movement, installation, choreography, robotic art , Readymade, Sculpture, installation, performance, robot, Abstract, Animation"
30965,Breathe On Me,Will,Pappenheimer,Will Pappenheimer,"Writing in the 1960s, Fluxus artist Dick Higgins proposed the expansion of the artwork into the everyday world of “super boring” ordinary events. This sent the designating wand of the readymade into undelineated dimensions of time and space. Added to life-time now, is its double, net-time. The webcam replaces the artifice of digital video as a real-time source for artwork, transforming a utopian technological desire for transoptic vision into a slow pulsing succession of grainy frames and the long uneventful moments between spectacles. The banal object, the empty room, and the darkened city tap into the pulse of telepresence, its cycling from being to absence. In other avenues this new surveillance medium extends the optic pleasures of cultural taboo, the sublime distant landscape, the dissolution of private and public spheres. But almost by accident, with staggered frame, the low tech image feed becomes an relentless entrancing and problematic witness, unveiling an Internet subconscious beneath the proliferation of virtual institutions. The magic of telepresence evokes the fundamental questions of existence and subjecthood.
“Rendezvous”: Duchamp’s allusion to the artwork as encounter points towards a generative moment produced by considerations of chance, internal attractions and the construction of meaning. The webcam is most readily understood as surveillance technology, providing voyeuristic pleasure and feeding the problematics of expanding control societies. As image recognition emerges as the next technology of vision control, my work attempts to reposition the problematics of webcam surveillance into the productive gestures (modes) of identification, coincidence and consultation.
With this in mind, my work operates through a series of inquiries, observations, interactions and re-presentations of particularly chosen existing worldwide webcams and installed alterations and configurations of my own design. The format of this work has involved video installation, performance, serial objects, inkjet transparencies and most recently coinciding network/physical spaces. Breathe On Me is an installation/internet work consisting of a three-walled space with a number of hybrid fan/webcam devices affixed to the walls. The ""FanCam"" devices are modified netcams such that Internet users can control the direction of the fan from the remote webcam view combined with pan and tilt controls. Internet users can choose one of the devices in the space, log onto a FanCam, visually locate visitors in the physical space and then turn on the fan and ""breathe"" towards the person. Visitors in the physical space are invited to enter a space where they will be remotely seen and will not know who is telepresent. Once seen by internet participants, they will receive an offer of fan “breath’ as a fundamental form of communication. Visitors who enter the space are asking to receive a telepresent stranger’s touch in the form of wind. Internet users reach out to physical visitors in the simple offer of moving air.",2/4/05 0:00,http://archive.rhizome.org/artbase/30965/Breathe_On_Me/BreatheOnMeMain.html,outside_link,http://archive.rhizome.org/artbase/30965/Breathe_On_Me/BreatheOnMeMain.html,archive_URL,by_nc_sa,"Comments from user: This is the second submission of this work intended for a LINKED version since an earlier cloned version was unsuccessful in being added to the Artbase
Date created: 2005-02-04",2/4/05 0:00,,,"allegory, Anti-art, Appropriation, British Columbia, canada, Collaborative, community, Conceptual, Conceptual art, contextual, Event, Flash, Generative, HTML, installation, Interactive art, INTERACTIVE FUTURES 05: Technology in the Life Wor, Internet, Javascript, live, netart, network, NTERACTIVE FUTURES 05: Technology in the Life Worl, Open Space Artist-Run Centre, Participatory, performance, public space, QuickTime, Readymade, surveillance, Technology, Telaporting An Unknown State, Telegarden, Telematic, The Robot in the Garden, utopia, VFIF, victoria Independent Film & Video Festival, video"
22567,Constructed Identities,Charles,Nelson,"Charles H. Nelson, Jr.","Constructed Identities Statement:
The Constructed Identities project had its first realization on Saturday August 10, 2002 in Atlanta, GA as a part of Shedspace, a series of artist installations in backyard sheds around Atlanta during the month of August. This particular one was in the shed of Sean Borja, a graphic designer for Home Depot and board member of Eyedrum art & music gallery. 
The installation is accessed by a log-in sheet on the door which viewers must create an i.d. and password in order to proceed. Once inside, there are four portraits of people from on-line dating services who use particularly interesting log-in names. Their portraits were taken from the site, pixelated, and then translated into six foot by six foot paintings using Ralph Lauren paint samples from Home Depot with colors based on 16-bit computer graphics. One of the portraits is interactive, meaning that the paint chips can be taken off and moved around to distort the image or to create a new image all together. 
Picking up where the Charles Nelson Project left off, this project was an attempt to physically represent the process of creating personae and crafting our representations on the internet. In this case, the names that people choose for themselves as the first indicator of personality to a prospective mate are entrances into their way of thinking. Along with the concept of naming, this project deals formally with the idea of painting and the way many of us relate to paint in a non-artistic way. The paint samples that people collect to find a perfect shade of mint green are used as the material for creating an original piece of art work. So these are ""paintings"" because they are made up of representations of ""paint"". Yet these representations of paint display their own identity by showing the name of the exact color that they are (Bone Black, Petunia Blossom, Dressage Red, etc).
This project is a continuation of my investigation of the role of traditional painting in a world of new technologies. The digitized image has become such a part of our reality that it is now understood as a visual language. My goal, ultimately, is to make art about our interface with technology using a language that we can all understand.
",8/10/02 0:00,http://archive.rhizome.org/artbase/22567/,outside_link,http://archive.rhizome.org/artbase/22567/,archive_URL,by_nc_sa,Date created: 2002-08-10,8/10/02 0:00,,,"art world, Atlanta, Charles Nelson, charleshnelson.com, commercialization, Conceptual, contextual, digital, Flash, HTML, identity, installation, Internet, Joey Orr, offline, posthuman, Readymade, Sean Borja, Shedspace, shedspace.org, social space, Visual"
50264,Green,Shawn,Decker,Shawn Decker,"Green is an electro-acoustic sound installation which isolates the elements of rhythm and spatial orientation, using many small speakers as sound sources, with only the most basic of sounds (small clicks and pulses) to create a spatially and rhythmic studies that are based on the natural soundscapes of insects and other organisms found in meadows and fields.
 Green uses home-made and custom programmed microcontrollers - single chip computers - to generate all sound that is heard.  The piece is driven by algorithms coded into each board, with all sounds being produced by these algorithms.  Each loudspeaker is powered by a microcontroller, and can make only simple and quiet sounds (by literally turning the speaker on and off only - so, small clicks, buzzes, etc. are all that is possible).  The piece gains volume and complexity through the multiplicity of speakers (32) and through their synchronization (provided by the algorithms within the microcontrollers).",9/1/06 0:00,http://www.shawndecker.com/documentation/green,outside_link,,archive_URL,by_nc_sa,"
Appended Tech Details
=====================
This piece uses two custom boards, each with a PIC microcontroller and darlington arrays driving 16 speakers (32 speakers in all).  The boards send small 5VDC pulses to the speakers - by controlling the various rates of clicks, small furtive patterns are created.  Random valuses are gotten by sampling the ether (a bare wire and a photocell) using the ADC converters.  small variations in the values are used to derive random numbers (instead of using a psuedo-random number generator algorithm).  Thus the piece in some undetectable ways responds to the environment around it.",9/1/06 0:00,,,"biodiversity, Generative art, physical computing, R M Schaefer, simulation, sound art, Soundscape, Technology"
53194,Interactive Robotic Painting Machine,Ben,Grosser,Ben Grosser,"I've built an interactive robotic painting machine.  It's an artificially intelligent system that paints its own body of work and makes its own decisions.  It also listens to its environment and considers what it hears as input into the painting process.  In addition to functioning as a visual artist, the machine also collaborates on multidisciplinary work.  It's first such activity was in a collaborative work between Zack Browning and myself titled Head Swap, an art/music work for amplified violin and interactive robotic painting machine.  In addition to painting during the performance, the machine also functions as a musical instrument itself, feeding pitched chords back into the work.",8/17/11 17:47,http://bengrosser.com/projects/interactive-robotic-painting-machine/,outside_link,,archive_URL,arr,,8/17/11 17:47,,,
54511,International Directory of Fictitious Telephone Numbers,Martin John,Callanan,Martin John Callanan,"International Directory of Fictitious Telephone Numbers is a collection of telephone numbers that are designated never to function. Their purpose is to be reserved indefinitely for use within drama or film productions so that unsuspecting people aren't disturbed by inquisitive viewers.
Nation states organise telephone systems with 'numbering plans', identifying geographical areas or service operators with number prefixes and corresponding number ranges. Some plans hold – forever-reserved – ranges of numbers varying from one hundred (some states of the USA) though to one hundred thousand consecutively ordered (Ireland). Explicitly for use in film and television programmes, producers pick from the designated ranges. The chosen digits appear fleetingly in films, or frequently over years of a serial.
Enquires were made to the telecommunication regulators of each nation state. All possible numbers for each country with such reserved ranges are ordered and listed in the International Directory of Fictitious Telephone Numbers.
The printed directory is accompanied by an apparently normal looking telephone. This telephone has been reprogrammed and reconstructed to automatically dial the numbers from the Directory, at random. The dialling tone is followed by the sound of numbers being dialled, then the response: a dead tone indicating no number, or a recorded message stating that the number is not in use, from a telephone exchange in any part of the world. The telephone then hangs-up before selecting another number to dial at random. ",6/3/12 8:29,http://greyisgood.eu/fictitious/,outside_link,,archive_URL,arr,,1/6/11 0:00,,,"installation, phone, system, directory"
50477,My Great DVD,Jennifer,Chan,Jennifer Chan,"My Great DVD is a misleading DVD screensaver that consists of the found logo moving unpredictably on a loop. The piece is made to resemble an inoperative video installation within the exhibition space for most of its duration. Presented as a single channel installation on a television set, the piece aims to frustrate expectations of the observing the banal in programmed default movement.",11/25/10 0:00,http://www.jennifer-chan.com/my-great-dvd/,outside_link,,archive_URL,by_nc_sa,"
Appended Tech Details
=====================
video installation on TV with DVD in DVD player",11/25/10 0:00,,,"Conceptual art, DVD, DVD logo bounce, Jennifer Chan, My Great DVD, QuickTime, Technology, video installation, appropriation"
53349,PacketWeather,Michael,Zbyszyński,Michael F. Zbyszyński ,"PacketWeather is a visualization and sonification of the data traffic that continuously surrounds us. Every second, computers are sending information “packets” out into the ether. These might be low level, such as checking the time on the network, or part of a storm of bits that represent email or html web browsing. While action is initiated by the user in the latter case, it can be surprising how much communication is generated automatically and occurs beneath the surface. Not only are data packets passing around us on wires, they are also passing straight through us as part of wireless data networks that are becoming ubiquitous. PacketWeather exposes part of the ocean of data that we are currently immersed in, but are usually unaware of.
PacketWeather employs Carnivore (officially DCS1000), a network “diagnostic” tool that the FBI has used to sniff out internet packets. Carnivore has been ported to run in Processing, an open source image, animation, and data visualization environment. It is here that the IP addresses and port numbers, of incoming packets are examined, and plotted visually. The spatial location of the plots corresponds to the IP addresses of the sender and receiver, while the color of the plots indicates what kind of traffic that packet represents (blue is html, red is instant messaging, green is email, etc.) Processing then packages this information into the OpenSoundControl, a communications protocol that originated in music synthesis. This protocol is passed along to Max/MSP, a data-flow based audio programming environment. Max keeps a running histogram of what packets have been seen, and uses that to generate a sonic environment based on the current packet climate. Repeated ports become more prominent, and different packet types (UDP or TCP) are identified by individual timbres.
PacketWeather is both site and time specific. Since it picks up all the traffic on the local area network, it can be extremely dense and active on a large network and much more minimal in a home environment. The nature of the prevailing traffic also influences the moment-by-moment evolution of the environment, and is strongly determined by the specific activities of users on the network.
 PacketWeather is a multimedia installation that visualizes and sonifies the data traffic that continuously surrounds us: every second, computers are sending information “packets” out into the ether. Employing an FBI packet sniffer -- along with Processing and Max -- PacketWeather exposes part of the ocean of data that we are currently immersed in, but are usually unaware of.
",9/14/11 17:36,http://www.mikezed.com/packetweather/,outside_link,,archive_URL,by_nc_sa,"
Appended Tech Details
=====================
Processing, Carivore, OpenSoundControl, MaxMSP",9/14/11 17:36,,,"sonification, data visualization, carnivore, packet sniffer, FBI, internet, processing, max, audio, installation, web, network visualization, site specific"
